message,label
"您好，您訂購的「陶瓷保溫杯」已於今日出貨，物流編號：78654321，預計三日內抵達，請留意簡訊通知。
（蝦皮購物提醒）",0
台新銀行通知：本月信用卡帳單已產生，繳款截止日為 5/28，請至網銀或行動銀行 App 查詢詳細資訊。,0
嗨～我們是兔寶寶童裝團購社團！這週五晚上9點開團唷～新品是夏季親子裝，記得準時來搶！,0
您好，我是上次在「寵物用品二手社團」與您聯繫的賣家，狗狗推車目前還有，您方便本週末來新店面交嗎？,0
您的博客來訂單 #3847261 已完成付款，預計 3-5 個工作天送達。如需修改地址，請登入會員中心操作。,0
📦 您的 momo 購物網訂單已完成配送，感謝您的購買，若滿意服務請幫我們按五星評價！,0
哈囉，我們是上週三看電影時認識的 Kevin～你有 IG 嗎？我們可以再約出來吃飯唷 😄,0
中華電信通知：您本月帳單金額為 NT$879，繳費期限為 5/30，請至超商、App 或網銀繳納，謝謝！,0
📚 大家好～6月的讀書會書單出爐囉！這次我們一起讀《被討厭的勇氣》，6/15 晚上線上見 😊,0
您好，這邊是台北富邦銀行，感謝您申辦信用卡，本行已收到您的資料，後續會由專人與您聯絡確認身分。,0
🏡 租屋小提醒：5/25（六）下午會有水塔清洗，當日中午12點到下午5點會暫停供水，請提早儲水喔！,0
"親愛的顧客您好：我們已收到您申請的退貨包裹，退款將於三日內完成，請留意銀行帳戶入帳情形。
（Yahoo 購物中心）",0
📢 課程通知：明天的 Python 程式基礎班改為線上授課，連結已寄至您的信箱，請於 19:00 前點選加入。,0
您好，我是週日來看沙發的黃小姐，沙發坐起來很舒服，我這週五可安排人自取，可以嗎？,0
午餐訂購提醒：今天中午有便當團，請 11:30 前填寫訂單表單，謝謝大家配合～,0
Apple 維修通知：您的 iPhone 維修進度為「已完成」，請攜帶身分證與維修單至台北信義門市取機。,0
郵局通知：您有一件包裹因地址不詳而無法投遞，請攜帶身分證於三日內至所轄郵局領取。,0
哈囉，我是之前在展場認識的 Amber！你的攝影作品真的很棒，有 IG 或網站可以追蹤嗎？,0
台灣大車隊感謝您搭乘本次行程，回饋乘車金 NT$20，請至 App 領取，下次搭車折抵。,0
您的全家超商店到店包裹已到貨：取貨編號【F8653】，請於 5/25 前至門市完成取件，謝謝。,0
劉小姐您好，這裡是國泰世華銀行客戶服務中心，提醒您本月的信用卡帳單已出，請至官網或APP查閱。若有疑問歡迎洽詢客服專線。,0
親愛的市民您好，台北市政府提醒您，目前仍可申請「青年安心成家貸款」方案，請至市府官網查詢詳情或撥打1999專線洽詢。,0
您好，這裡是宅配通客服中心，您的包裹已於今日中午投遞失敗，將於明日再次配送。如需改期請撥客服專線：0800-XXX-XXX。,0
中信銀行提醒您：目前已有「彈性還款」方案，適合自由接案與創業者，歡迎至官網了解更多或親洽分行辦理。,0
"主旨：貸款申請進度通知
劉小姐您好，感謝您申請本行貸款方案，目前已進入第二階段審核，無需任何費用，若有進一步進度將以簡訊及Email通知。",0
我們是知名品牌社群行銷公司，誠徵短期社群操作助理，須基本電腦操作能力，可遠端工作。請至104投遞履歷，謝謝！,0
"家庭主婦創業說明會
經濟部推出「家用創業貸款」與電商培訓課程，適合居家照顧者參加，請至 gov.tw 創業專區報名。",0
"【銀行通知】
您好，我們已收到您反映之誤扣問題，處理進度可於銀行APP查詢。若需協助，請撥打本行客服專線：0800-XXX-XXX。",0
"【104職缺通知】您好，您關注的「行政助理」職缺已有新職缺上架，薪資 33,000 元起，歡迎至 104 立即應徵",0
