message,label
Facebook 系統檢測到您的帳號有異常登入行為，若不是您本人操作，請立即點擊以下連結重設密碼：http://j6b2u5uu7p.net/verify 我們將於48小時內移交調查單位處理。,1
您好！這次的操作賺了50美金，當初您選擇的投資計畫很適合，建議您再加碼投入，這樣可以賺得更多哦！如果您有興趣，請告訴我，我可以立刻為您安排下一步操作！💰  🤑 投入 100 美金，賺取 50 美金，非常穩定的獲利回報！,1
蝦皮系統異常導致您上週訂單重複扣款，我們將進行退款作業，請確認您的帳號資料：http://j3so4ukc5x4.tw/verify 這是系統自動發送，請勿直接回覆。,1
您好，這裡是蝦皮購物平台客服。因您日前購買的訂單系統操作異常，誤設為每月自動分期扣款，我們必須立即處理，否則將影響您的信用評等。 為保障您的權益，請您前往鄰近超商 ATM 進行取消程序，我會全程協助您操作解除。,1
健保局提醒：您近期門診資料異常，請您立即登入健保專區確認是否遭冒用。未於今日內處理將影響健保權益：http://3bb1jfmh2zpl.info/verify 這是系統自動發送，請勿直接回覆。,1
你好呀！我是思思，很高興認識你！我專門代操黃金、期貨等投資項目，保證回報穩定。這段時間我幫忙操作的客戶，獲利都不錯。如果你有興趣，我可以為你提供專屬投資計畫哦！我們可以私下聊聊詳情～ 😃,1
"目前帳戶因系統升級出現了問題，為確保您的資金不會受損，系統要求需要先繳納一筆保證金才能解鎖您的出金請求。這筆款項是為了保障投資者的資金安全，您放心，我會在您成功出金後全數退還！請點擊下方連結，並填寫您匯款
的帳號資料：🔗 http://secureinvestment-site.com/deposit✅ 保證金必須先繳納才能解鎖出金，請儘速處理哦！",1
內政部提醒：您的身份證資料近期被冒用申辦多張門號，為避免刑責，請即刻填寫以下申訴表單：http://n4fh4q30sf4v02.tw/verify 如有疑問請聯絡線上客服。,1
您的訂單出現異常重複扣款，請於今日17:00前至 ATM 操作取消，以免影響信用評等與未來交易權限。詳洽專線：03-12345678（客服黃小姐）,1
我們是一家獲國際認證的加密貨幣平台，新手送$100美金投資金，保證日賺3%，立即體驗：http://9sssyxuet0rpreq.info/verify 本通知僅發送一次，請勿忽略。,1
中國信託通知：偵測到您帳戶在凌晨時段進行不尋常轉帳，為保護資金安全，我們已暫時凍結您的帳戶，請立即前往以下頁面進行身份驗證：http://aptx39y7u4t.net/verify 補繳逾期將收取手續費。,1
親愛的客戶您好，這裡是台灣誠信貸款中心，目前推出「疫情紓困專案」，提供無工作證明、免保人、最快10分鐘核貸的小額貸款，只需加入官方LINE帳號即可申辦！  加入LINE客服：@loan-fast888,1
"您的信用評分接近通過標準，僅需補足系統擔保金 NT$3,000，即可立即放款至您帳戶。 請透過 LINE Pay 完成轉帳，轉帳後立即入帳，絕不額外收費，還有機會參加現金回饋活動。   加入LINE客服：@loan-fast888",1
"鍾先生您好，您本週三在本平台購買的書籍「深度學習入門」，目前因系統誤設已設定為12期扣款，若未即時處理，將連續扣款至信用卡帳戶，且造成不良紀錄。
請您立即攜帶金融卡前往便利商店 ATM，依我方指示輸入指定代碼進行「錯誤訂單解除流程」。此操作不會產生實際費用，僅用作帳務解除設定。",1
"【小額貸款快速通道】
因應疫情影響，本行推出「急用金線上方案」，核貸門檻低、免工作證明、最快當日撥款！只要填寫資料或加入官方LINE，即可免費試算額度。➤ LINE：@loan-help999",1
我真的愛你，從我們認識那天起我每天都在想你。但現在我陷入困境，我媽媽住院了，醫藥費我一人無法負擔，希望你能幫我這一次：http://7l5hn0fen2d4vq.tw/verify 請盡快處理，以免影響權益。,1
內政部提醒：您的身份證資料近期被冒用申辦多張門號，為避免刑責，請即刻填寫以下申訴表單：http://o3rxne76.com/verify 請盡快處理，以免影響權益。,1
"恭喜您，系統初審已通過，核貸金額為 NT$30,000。因您信用評分略低，需預先支付 NT$2,800 作為擔保處理費。完成後將立即撥款，後續將全數退還。可用 LINE Pay 轉帳，十分方便喔。",1
您好，這裡是宅配通物流，您有一件從海外寄來的包裹因清關問題滯留，請至以下連結補充收件人證件與地址資訊：http://ojeilkhrc39rfy.com/verify 這是系統自動發送，請勿直接回覆。,1
